Date,Open,High,Low,Close,Volume,GBPUSD,Open_GBX,High_GBX,Low_GBX,Close_GBX
2025-08-12,710.9678893124791,733.3767726107974,710.0561885939944,728.710693359375,2418100,1.3435261249542236,52918.05467025831,54585.97037968167,52850.19586933505,54238.66941063044
2025-08-13,731.0632679169095,734.1314473904484,718.162925704245,729.9947509765625,1862600,1.3504207134246826,54135.963751838826,54363.165500378214,53180.68055124654,54056.839007251845
2025-08-14,728.0636865725065,733.3963400471453,722.4565895218356,732.455322265625,1371200,1.3585295677185059,53592.038323847875,53984.569601882125,53179.30552922144,53915.30222604573
2025-08-15,734.2197806135523,734.2687819838953,714.7908868494043,716.3004760742188,1645900,1.3530701398849487,54263.246151894455,54266.86764710735,52827.33435460949,52938.902053896905
2025-08-18,715.1045556844332,717.1729040563725,709.5856493921442,716.5357666015625,1157800,1.3556381464004517,52750.40080446315,52902.974585116295,52343.293177184954,52855.97550527321
2025-08-19,714.7712806668087,715.5947310664358,703.5668388381553,707.1448364257812,1856400,1.3508219718933105,52913.80326491033,52974.76247469228,52084.349638763786,52349.22522282102
2025-08-20,706.9683760083191,707.9976441062937,691.6271777869798,706.4586181640625,1872700,1.348679542541504,52419.30004188249,52495.61676987519,51281.80238306653,52381.50323187854
2025-08-21,702.4002843008147,705.0273918944137,698.9007249790994,701.8219604492188,1162000,1.3466380834579468,52159.54404743742,52354.630435225656,51899.670265112094,52116.59829544212
2025-08-22,705.9292607612635,730.1418597051176,704.400047134848,727.2500610351562,1948600,1.3419395685195923,52605.14536731593,54409.444123523324,52491.18989105684,54193.95016702933
2025-08-25,727.2500441743131,731.7690591015532,723.7602972702863,724.211181640625,1381200,1.35111403465271,53825.95587953057,54160.42172115006,53567.66924979218,53601.04055367733
2025-08-26,723.1525278212538,734.3765330357014,719.3784653416586,734.1707153320312,1511600,1.3453518152236938,53751.92716419786,54586.20746823725,53471.401101283416,54570.90903838856
2025-08-27,731.2494663609954,738.1407694613018,730.3182609307717,734.87646484375,1534800,1.3478723764419556,54252.129440571385,54763.40211154174,54183.04237813883,54521.22008640308
2025-08-28,736.1704318428535,738.4642820980037,732.2493652964773,736.3958740234375,1411200,1.3503841161727905,54515.631739603166,54685.49824111766,54225.26498399521,54532.326410244204
2025-08-29,735.8933401798311,738.0712880954991,728.196476576733,734.4544677734375,1467000,1.35111403465271,54465.672127296406,54626.8685814675,53896.004178796684,54359.176867126655
2025-09-02,725.7227874367305,725.7227874367305,710.7133658623917,720.2630004882812,2296400,1.3547931909561157,53567.05305881908,53567.05305881908,52459.17757830044,53164.05524447398
2025-09-03,718.0062664031279,721.4161673949264,711.8369375152871,719.977294921875,1485600,1.3383476734161377,53648.71032131839,53903.49471400872,53187.744235271886,53795.983601490494
2025-09-04,723.1210709994753,738.0614403576991,720.5784274271349,738.0516357421875,1778200,1.3441582918167114,53797.31504852255,54908.818764207026,53608.15253784058,54908.08934003345
2025-09-05,741.2938869524413,746.3791134729543,716.6166344220352,727.5164184570312,1822800,1.3444474935531616,55137.43679147477,55515.67592278316,53301.94283215412,54112.66873162304
2025-09-08,728.7089063983016,732.769220165311,722.9436722820858,731.1036987304688,1400100,1.3492909669876099,54006.80240416914,54307.72443406121,53579.52361425127,54184.28764573374
2025-09-09,729.4086423351365,754.5293901055707,727.8416482634565,752.85400390625,2611300,1.3553073406219482,53818.688977247926,55672.198289674896,53703.06988298693,55548.58159041376
2025-09-10,750.823806214717,763.2511253809848,750.5971572054214,758.4320068359375,1996200,1.352109670639038,55529.80076385819,56448.9066201453,55513.0381436198,56092.49185219459
2025-09-11,760.8169721496809,781.6802911887554,760.1763638510663,773.362548828125,2075700,1.3534730672836304,56212.19886381722,57753.664264451036,56164.86816222445,57139.116213094254
2025-09-12,772.1504253784065,775.629319600717,765.0153117355115,768.76025390625,1099400,1.3576626777648926,56873.51048417936,57129.75191139734,56347.96656522584,56623.80401970339
2025-09-15,771.608352495527,780.9017441542022,770.1202164340411,775.3631591796875,1292000,1.3553440570831299,56930.81018528424,57616.49524142235,56821.01252514703,57207.84734529815
2025-09-16,778.0929964437368,778.5660239756936,768.3955109815599,774.1509399414062,1529500,1.3602666854858398,57201.503554123214,57236.27817126294,56488.592948750775,56911.703285955766
2025-09-17,777.4327460202405,787.0021109091882,773.8553245303494,782.715087890625,1945300,1.365392804145813,56938.39484576755,57639.245535758855,56676.38808265668,57325.268268151594
2025-09-18,784.0455509353465,795.5859440427938,780.921487717317,792.658935546875,1501600,1.3629734516143799,57524.638503169685,58371.345612084995,57295.42910702708,58156.59392396871
2025-09-19,792.4421367702416,797.9313979121331,785.8194500908996,793.3389282226562,3789800,1.3556013107299805,58456.87301257609,58861.80483865521,57968.33064935163,58523.027526098325
2025-09-22,789.5348522300642,794.3540310530707,785.9869650571767,793.8908081054688,1151000,1.3464748859405518,58637.17626478798,58995.087048964255,58373.68177187665,58960.68440600086
2025-09-23,795.4085013545462,813.295608473162,790.3824029027276,794.6398315429688,1758800,1.3514974117279053,58853.86789883727,60177.37077523175,58481.976809131615,58796.99248014189
2025-09-24,797.8230489503444,801.0654293290602,780.8623872067685,780.9510498046875,1402500,1.3524478673934937,58991.039003074446,59230.780619508405,57736.96761500214,57743.523327799405
2025-09-25,774.6142000044849,786.6177563436844,770.682007773663,783.247314453125,1413100,1.3452396392822266,57581.87443969406,58474.17317879485,57289.57021998492,58223.627343529566
